Geneid,LNCAP_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,639,210,570,384,89,76,226,437
ENSG00000011677,218,181,175,183,64,69,255,174
ENSG00000012048,2480,914,2071,2630,329,256,674,3457
ENSG00000012061,876,1091,763,827,457,456,1115,853
ENSG00000012124,19,0,11,2,2,0,0,7
ENSG00000012171,601,288,541,448,95,144,353,282
ENSG00000012174,2386,3594,1976,1801,1335,1190,3039,2348
ENSG00000012211,879,166,707,683,69,47,139,594
ENSG00000012223,28,0,21,200,0,0,0,106
ENSG00000012232,1431,1584,1249,899,582,502,1439,876
ENSG00000012504,4,0,2,0,0,0,0,0
ENSG00000012660,203141,7244,164562,71921,2868,2244,6635,86520
ENSG00000012779,14,35,16,8,19,23,59,6
ENSG00000012817,2357,0,1949,1903,0,0,0,2087
ENSG00000012822,3083,824,3069,1407,252,388,1145,1652
ENSG00000012963,2044,539,1800,1633,202,163,522,1877
ENSG00000012983,3813,3022,3528,1746,1087,1398,4306,2307
ENSG00000013016,694,359,569,831,160,87,293,710
ENSG00000013275,3967,1634,3442,3309,593,540,1627,3132
ENSG00000013288,2252,150,1884,1680,50,51,149,1892
ENSG00000013293,0,0,0,0,1,1,0,0
ENSG00000013297,11,409,9,3,125,108,237,7
ENSG00000013306,3539,6256,3060,4038,2527,1721,4750,3047
ENSG00000013364,258,567,221,346,208,172,469,296
ENSG00000013374,4000,1229,3463,3982,436,338,1019,4571
ENSG00000013375,3176,1786,2474,2573,619,791,2232,3328
ENSG00000013392,2186,86,1654,1623,27,34,100,1926
ENSG00000013441,11631,1231,11470,3744,539,829,2640,4601
ENSG00000013503,1817,929,1373,2078,345,225,706,2673
ENSG00000013523,1626,304,1493,1478,104,57,144,1331
ENSG00000013561,2843,680,2472,2238,236,208,628,2408
ENSG00000013563,943,169,872,684,78,63,139,581
ENSG00000013573,1112,330,1058,760,135,83,255,862
ENSG00000013583,1663,406,1340,1640,165,127,388,2125
ENSG00000013588,4,5754,3,4,2115,4148,11741,7
ENSG00000013619,89,216,107,42,69,73,190,55
ENSG00000013725,0,16,0,0,7,6,12,0
ENSG00000013810,4613,848,3969,3287,369,204,686,3686
ENSG00000014123,3759,973,3447,3852,346,289,739,4935
ENSG00000014138,243,387,193,183,161,121,264,176
ENSG00000014164,286,314,232,258,96,110,239,203
ENSG00000014216,4762,2634,4136,3168,998,1275,3607,2983
ENSG00000014257,408,40,316,992,20,25,58,1202
ENSG00000014641,3069,1675,2552,2718,637,657,1794,2922
ENSG00000014824,10137,1439,9355,9249,542,738,2075,10434
ENSG00000014914,287,603,210,140,237,368,842,176
ENSG00000014919,949,445,714,964,148,201,492,1006
ENSG00000015133,5257,185,4704,2916,53,50,123,3145
ENSG00000015153,714,415,652,433,146,118,423,605
ENSG00000015171,7209,1769,6164,5768,607,515,1565,7405
ENSG00000015285,76,8,101,67,1,2,4,68
ENSG00000015413,0,0,2,1,0,0,0,0
ENSG00000015475,263,339,290,301,144,119,389,267
ENSG00000015479,243,99,283,192,30,14,77,243
ENSG00000015520,41,2,51,36,0,2,0,34
ENSG00000015532,908,1111,810,878,420,291,723,818
ENSG00000015568,21,0,107,4,1,4,8,9
ENSG00000015592,76,0,66,118,0,0,0,20
ENSG00000015676,2112,1082,1860,2422,426,289,745,2087
ENSG00000016082,9,22,6,17,4,2,8,28
ENSG00000016391,1801,111,1585,1178,45,19,47,1317
ENSG00000016402,16,81,21,28,28,17,52,15
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,1,0,0
ENSG00000016864,1620,889,1472,1482,380,333,789,1396
ENSG00000017260,7423,2744,6365,4656,1027,1065,3074,5744
ENSG00000017427,720,0,698,153,0,1,3,183
ENSG00000017483,5,8,9,4,1,13,27,13
ENSG00000017797,4587,320,3847,3042,99,82,244,3281
ENSG00000018189,894,253,779,833,76,46,143,1000
ENSG00000018236,0,779,0,0,264,308,866,0
ENSG00000018280,24,0,31,54,0,2,6,29
ENSG00000018408,192,2794,137,141,908,840,2662,182
ENSG00000018510,2126,2530,1879,1264,902,798,2597,1759
ENSG00000018607,0,0,0,0,0,0,0,0
ENSG00000018610,790,255,696,818,103,61,153,890
ENSG00000018625,22,22,30,3,10,15,21,7
ENSG00000018699,564,986,420,824,388,250,686,950
ENSG00000018869,236,0,210,196,0,0,0,203
ENSG00000019102,0,0,1,4,1,0,2,3
ENSG00000019144,1512,627,1429,844,249,145,370,818
ENSG00000019169,3,39,1,2,26,9,31,2
ENSG00000019186,0,178,0,0,84,54,152,1
ENSG00000019485,56,258,52,69,100,67,214,70
ENSG00000019505,18,33,14,14,13,8,28,23
ENSG00000019549,991,609,790,371,215,227,735,454
ENSG00000019582,1,4,4,9,2,1,6,5
ENSG00000019991,0,3,0,0,1,0,0,0
ENSG00000019995,3055,1067,2995,1988,377,468,1650,2133
ENSG00000020129,1234,343,903,1262,153,117,310,1271
ENSG00000020181,11,157,13,18,58,32,51,28
ENSG00000020219,1,0,0,0,0,0,0,0
ENSG00000020256,1497,944,1413,1237,334,281,696,1308
ENSG00000020426,1150,2176,1116,932,838,696,2182,1166
ENSG00000020577,134,2119,150,72,869,1779,5579,65
ENSG00000020633,0,0,0,4,1,0,1,2
ENSG00000020922,1602,505,1307,1421,215,132,328,2000
ENSG00000021300,11648,362,10751,9181,149,112,309,8871
ENSG00000021355,0,524,0,0,171,239,733,3
ENSG00000021461,29,0,22,33,0,0,0,45
ENSG00000021488,16,2,19,8,0,2,1,11
ENSG00000021574,1143,984,917,845,392,349,1004,1016
ENSG00000021645,52,210,77,72,78,63,221,82
ENSG00000021762,1549,108,1368,2612,43,20,59,2520
ENSG00000021776,3526,2440,2901,2758,885,788,2435,3562
ENSG00000021826,2226,626,2020,1974,235,162,491,2598
ENSG00000021852,0,1,0,0,0,0,0,0
ENSG00000022267,6,1083,5,1,404,449,1463,1
ENSG00000022277,2169,1202,1861,1865,465,381,1147,2070
ENSG00000022355,0,3,0,0,2,1,1,1
ENSG00000022556,1457,0,1194,1657,0,0,0,1662
ENSG00000022567,380,90,349,415,45,12,33,408
ENSG00000022840,4191,1177,3564,3285,465,501,1405,3285
ENSG00000022976,790,153,634,856,44,32,58,923
ENSG00000023041,3058,1492,3072,2079,497,492,1449,2530
ENSG00000023171,8,3115,15,5,1154,1034,3611,11
ENSG00000023191,978,993,928,1409,406,330,903,1097
ENSG00000023228,7407,2573,6290,6563,906,775,2382,7926
ENSG00000023287,4697,1113,4530,3064,384,436,1466,3987
ENSG00000023318,4535,1649,3620,4894,589,793,2086,6129
ENSG00000023330,5609,437,4720,2971,140,122,382,3332
ENSG00000023445,745,490,596,958,171,173,646,1297
ENSG00000023516,5639,741,4882,3453,270,228,639,4297
ENSG00000023572,1560,139,1231,955,55,36,136,1261
ENSG00000023608,1159,2006,1015,534,769,699,2381,735
